question_text,Subject,grade,chapter,question_id,total_attempt,3PL,learning_unit,learning_objective,competency_score,competency_score_range,Bloom_tag,Predicted_competency_score_range
The numeral form of fifty crore seventy-seven lakh thirty thousand one hundred four is ___________. ,Mathematics,6,Knowing our numbers,13694,128,-4.84418708645859,Conversion of names of whole number (upto 9-digit numbers) into numerical form,Explain the concept of the expanded form of a whole number and its role in representing the value of each digit within the number,0.9921875,90-100%,Understand,90-100%
Which of the following environments is typically surrounded with salty waters?,Biology,6,The Living Organisms — Characteristics and Habitats,5660,89,-4.4773368144782,Definition of habitats and adaptations.,Use a string and ruler to measure the length of a curved line on a given object or surface.,0.98876404494382,90-100%,Apply,90-100%
Which of the following environments is typically surrounded with salty waters?,Biology,6,The Living Organisms — Characteristics and Habitats,5660,89,-4.4773368144782,Definition of habitats and adaptations.,Use a string and ruler to measure the length of a curved line on a given object or surface.,0.98876404494382,80-90%,Apply,90-100%
"Sohail loves eating chips, french fries and burgers with lots of cheese. These foods are rich in fats. How might Sohail's increased intake of fatty foods most likely affect his health?",Biology,6,Components of Food ,14413,153,-4.32413265625498,Definition of malnutrition and obesity,State the definition of negative numbers as numbers less than zero.,0.986928104575163,90-100%,Remember,90-100%
Which term describes objects that produce their own light?,Physics,6,"Light, shadow and reflection",17374,206,-4.21459369037367,"Light and its sources (natural, artificial, luminous and non luminous)",Students will assess the status of local endemic species using provided data and apply conservation measures.,0.985436893203883,90-100%,Apply,90-100%
What are the horizontal and vertical lines on the Cartesian plane called?,Mathematics,8,Introduction to Graphs,12670,65,-4.15888308335967,"Definition of the cartesian plane and terms related to it (origin, coordinates, coordinate axes, quadrants)","List the properties of a parallelogram related to its angles, sides and diagonals.",0.984615384615384,90-100%,Remember,90-100%
____ does not allow the electric current to flow through it.,Physics,6,Electricity and Circuit,7727,115,-4.03424063815239,Electric Conductors and Insulators: Definition and Application,Apply the formula for the sum of square numbers to calculate specific values.,0.982608695652173,90-100%,Apply,90-100%
"Jhanvi buys a toy monkey and observes that it has two cells at the back of it as shown.
 






After a few weeks of use, she observes that the toy monkey stops moving its hands. What should she do?

",Physics,6,Electricity and Circuit,20192,115,-4.03424063815239,Structure and function of electric cell,Explain the concept of non-conventional methods to calculate squares.,0.982608695652173,90-100%,Understand,90-100%
Identify the variables in the expression 2m – 8a + 5.,Mathematics,6,Algebra,7167,51,-3.91202300542814,Definition of variable and constant,Describe how organizing data enhances comprehension by visually highlighting patterns and relationships in the information.,0.980392156862745,90-100%,Understand,90-100%
Which is the suitable unit to express the distance between two cities?,Physics,6,Motion and Measurement ,4437,50,-3.89182029811062,Units of length,Apply the prime factorisation method to find the cube root of a given cube number using its prime factors.,0.98,90-100%,Apply,90-100%
Match the given numbers in column I with their expanded forms in words in column II.,Mathematics,6,Knowing our numbers,13659,89,-3.77276093809463,Interpretation of whole number in numerical form (upto 9-digit numbers) into number names,Recall the process of writing number names in numerals and identify the correct numerals for given number names.,0.97752808988764,90-100%,Remember,90-100%
"If a number reads ""Fifteen lakh ninety thousand eight hundred forty-three "". Find the missing digit.15,90,8_3",Mathematics,6,Knowing our numbers,362,87,-3.74950407593037,Reading and writing large numbers in Indian System of Numeration,Convert written descriptions of large numbers into their corresponding numerical values using the Indian System of Numeration.,0.977011494252873,90-100%,Apply,90-100%
What is the roman numeral for 5? ,Mathematics,6,Knowing our numbers,108,123,-3.68887945411393,Roman numerals of numbers,Solve problems involving the conversion of numbers to Roman numerals.,0.975609756097561,90-100%,Apply,90-100%
Temperature is the measure of:,Physics,7,Heat,13303,444,-3.67284245520412,Definition and units of temperature,"Students will compare and contrast the structural differences between herbs, shrubs, trees, and creepers and climbers.",0.975225225225225,90-100%,Analyse,90-100%
"Which of the following numbers can be formed using the digits 2, 8 and 6 without repetition?",Mathematics,6,Knowing our numbers,13583,79,-3.65065824129373,Formation of number using given digits,Students will recall the discovery of antibiotics by Alexander Fleming and identify common antibiotics produced using microbes.,0.974683544303797,90-100%,Remember,90-100%
Observe the image and identify the action that is primarily involved when the person behind the car is applying a force to start the car.,Physics,8,Force and pressure,11055,39,-3.63758615972638,Force due to the interaction between two objects,Students will explain the concept of rumination and its purpose in the digestion of cud-chewing animals.,0.974358974358974,90-100%,Understand,90-100%
What is an example of a plant that traps insects?,Biology,5,Seeds and seeds,20541,501,-3.62536604839161,Facts about Pitcher Plant,Apply the concept to find the sum of two consecutive positive integers for a given odd number.,0.974051896207584,90-100%,Apply,90-100%
Which of the following health problems can be caused by vehicle emissions?,Chemistry,5,Fuel (what if it finishes) ,20579,501,-3.62536604839161,Impact of Vehicle Emissions on Health and Environment,Analyse the patterns in square numbers with designated digits at place values to recognize any commonalities or rules.,0.974051896207584,90-100%,Analyse,90-100%
"Radhika observed that an electrician was repairing the wiring in a home. She saw the following sign near the wiring area, indicating the hazard of being electrocuted.



What precautions should the electrician take to prevent being electrocuted?
",Physics,6,Electricity and Circuit,19829,115,-3.61988658262698,Electrical Safety and Hazard Awareness,Students will analyze the impact of seed quality on crop yield and the potential economic benefits.,0.97391304347826,90-100%,Analyse,90-100%
"How will the number 42,167,316 be read according to the International System of Numeration?",Mathematics,6,Knowing our numbers,13619,38,-3.61091791264422,Reading and writing large numbers in International System of Numeration,Convert large numbers in words into their corresponding numerical values using the International System of Numeration and vice versa.,0.973684210526315,90-100%,Apply,90-100%
Which adaptive feature of a fish helps it to breathe in water?,Biology,6,The Living Organisms — Characteristics and Habitats,5730,152,-3.61091791264422,"Adaptations in various aquatic plants and animals, and frogs.",Recall the chronological order of transportation advancements.,0.973684210526315,90-100%,Remember,90-100%
Identify the material(s) the table given below is made of. ,Chemistry,6,Sorting Materials into Groups ,873,111,-3.58351893845611,Nature of objects around us at material level and grouping of materials,Students will summarize the role of different nutrients in maintaining good health.,0.972972972972973,90-100%,Understand,90-100%
Which of the following statements about a circle is correct?,Mathematics,6,Basic geometrical ideas,22116,72,-3.55534806148941,Definition of circle,Find the side opposite to a given vertex/angle of a triangle and the angle/vertex opposite to a given side of a triangle.,0.972222222222222,90-100%,Understand,90-100%
"Which of the following numeral represents the number ""Eleven lakh seventy thousand six hundred seven""?",Mathematics,6,Knowing our numbers,78,214,-3.54577861047326,Reading and writing large numbers in Indian System of Numeration,"Analyze the structure of large numbers in the Indian System of Numeration, identifying the roles of place values and digits.",0.971962616822429,90-100%,Analyse,90-100%
"Touching a cold object such as ice produces a sensation of coldness, whereas touching warm water generates a sensation of warmth. How does the sense of touch function as a detector of hot and cold objects?",Physics,7,Heat,13966,213,-3.54095932403731,Sense of touch as temperature sensor,"Explain how roots are modified for storage, support, and parasitic functions.",0.971830985915493,90-100%,Understand,90-100%
Which of the following is an open curve?,Mathematics,6,Basic geometrical ideas,1422,248,-3.53888678443534,Classification of curves,Apply the knowledge of curves to identify the curves from the given figures.,0.971774193548387,90-100%,Apply,90-100%
What is the path of light as it travels through air?,Physics,6,"Light, shadow and reflection",4742,170,-3.49650756146648,Light travels in straight line,Apply the knowledge of cube roots to calculate the cube root of numbers.,0.970588235294117,90-100%,Apply,90-100%
Identify the type of force which is exerted by muscles to move objects.,Physics,8,Force and pressure,11068,68,-3.49650756146648,Types of contact force (Muscular and frictional),"Understand how amoeba obtains its nutrition by surrounding and engulfing food particles, how it digests the engulfed food within food vacuoles, and how it eliminates indigestible waste materials through egestion.",0.970588235294117,90-100%,Understand,90-100%
What is the term for the mode of nutrition in which organisms take in nutrients from dead and decaying matter?,Biology,7,Nutrition in plants,9596,131,-3.45789272533869,Saprotrophic mode of nutrition,"Students will explain the environmental, social, and economic consequences of deforestation.",0.969465648854961,90-100%,Understand,90-100%
Which instrument gives the accurate measurement of degree of hotness or coldness?,Physics,7,Heat,1965,65,-3.44998754583158,Definition of Thermometers,Use properties of square numbers to solve mathematical problems,0.969230769230769,90-100%,Apply,90-100%
What is an obtuse angle?,Mathematics,6,Understanding Elementary Shapes,20788,32,-3.43398720448514,Definition of an obtuse angle,Describe why an acute angled triangle has all angles measuring less than 90 degrees and its properties.,0.96875,90-100%,Understand,90-100%
"While doing an activity in class, the teacher asked Sharon to hand over an opaque material. Which among the following materials will she pick and give it to her teacher?",Chemistry,6,Sorting Materials into Groups ,887,32,-3.43398720448514,Properties of materials-Transparency,Students will summarize the functions of each type of vitamin in the body.,0.96875,90-100%,Understand,90-100%
What is called a force: pushing or pulling an object?,Physics,6,Motion and Measurement ,11640,287,-3.43039653635441,Force - a push or pull,Apply the rules of polynomial multiplication to solve problems involving the multiplication of two polynomials.,0.968641114982578,90-100%,Apply,90-100%
"If a number reads ""Eleven lakh seventy thousand six hundred three"". Find the missing digit.11,70,__03",Mathematics,6,Knowing our numbers,69,191,-3.42859635585026,Reading and writing large numbers in Indian System of Numeration,Convert written descriptions of large numbers into their corresponding numerical values using the Indian System of Numeration.,0.968586387434554,90-100%,Apply,90-100%
Suman wanted to perform the starch test on a leaf. Which of the following solutions is needed to test for starch?,Biology,6,Components of Food ,2092,127,-3.42588999425252,Definition of carbohydrates and its qualitative tests.,Recall the commutative property for multiplication of whole numbers.,0.968503937007874,90-100%,Remember,90-100%
Fill in the blanks:A number 2511 is given.Its predecessor is___ and its successor is___.,Mathematics,6,Whole numbers,2427,60,-3.36729582998647,Successor of whole numbers,Apply the concept of successor in real-life situations.,0.966666666666666,90-100%,Apply,90-100%
Which of the following actions can increase the risk of electrical shocks?,Physics,6,Electricity and Circuit,17150,360,-3.36729582998647,Electrical Safety and Hazard Awareness,Students will apply methods of seed selection and demonstrate sowing techniques in a model garden or simulation.,0.966666666666666,90-100%,Apply,90-100%
Which of these pairs of animals give milk for human consumption?,Biology,5,Animal-Our friends,9820,625,-3.35905176021139,Usefulness of Animals in Day-to-Day Life,Describe the relationship between consecutive square numbers and the non-square numbers that lie between them.,0.9664,90-100%,Understand,90-100%
Which of the following signs indicates that food has spoiled?,Biology,5,Food spoilage and preservation (Mangoes all year round),20572,501,-3.34887156266041,Food spoilage and its causes,Describe why the sum of the first n odd numbers always results in a square number.,0.966067864271457,90-100%,Understand,90-100%
Consider the figure shown below:Choose the points whose x-coordinate is 3.,Mathematics,8,Introduction to Graphs,23330,29,-3.3322045101752,Coordinates of a point on a graph,Explain the properties that distinguish a square from other quadrilaterals.,0.96551724137931,90-100%,Understand,90-100%
Prachi filled the table with information about inhalation events in humans.Another student claims that Prachi made a mistake. Identify the option which corrects the mistake made by Prachi.,Biology,7,Respiration in Organisms,4450,29,-3.3322045101752,Mechanism of Breathing in Humans,Explain how radiation transfers energy without the need for a medium.,0.96551724137931,90-100%,Understand,90-100%
Which of the following structures is involved in the exchange of gases in fishes?,Biology,7,Respiration in Organisms,4625,29,-3.3322045101752,General Mechanism of Breathing in other animals(non-humans),Predict the type of image formed by a convex lens for different object distances.,0.96551724137931,90-100%,Apply,90-100%
Identify the step shown in the given image.,Biology,8,Crop production and management,10154,29,-3.3322045101752,Sowing and selecting seeds for crop production,"Explain how the release of gas, color change, formation of precipitate, and energy changes can signal a chemical change.",0.96551724137931,90-100%,Understand,90-100%
Identify the step shown in the given image.,Biology,8,Crop production and management,10154,29,-3.3322045101752,Sowing and selecting seeds for crop production,"Explain how the release of gas, color change, formation of precipitate, and energy changes can signal a chemical change.",0.96551724137931,90-100%,Understand,90-100%
"Jahnavi uploaded two videos, 1 and 2, on social media. She records the number of views of videos 1 and 2 over the span of 7 days on a line graph as shown.Which of the lines shows the number of views of videos 1 and 2?",Mathematics,8,Introduction to Graphs,12715,57,-3.31418600467252,Definition of line graph,Explain the properties that distinguish a rhombus from other quadrilaterals.,0.964912280701754,90-100%,Understand,90-100%
Which of the following numbers represents a negative number?,Mathematics,6,Integers,18999,57,-3.31418600467252,Definition of negative numbers,Analyze different scenarios to determine whether they qualify as random experiments.,0.964912280701754,90-100%,Analyse,90-100%
"A samosa is wrapped in white paper, and an oily patch is visible on the paper. What does an oily patch indicate?",Biology,6,Components of Food ,512,57,-3.31418600467252,Definition of fats and its qualitative tests.,Explain why the associative property is not applicable to the subtraction of whole numbers.,0.964912280701754,90-100%,Understand,90-100%
"Fill in the blank with the correct option.
The numbers which lie left to the zero on the number line are called ________.",Mathematics,6,Integers,18998,85,-3.30810695859614,Definition of negative numbers,Explain the concept of a random experiment and how it relates to situations where outcomes are uncertain.,0.964705882352941,90-100%,Understand,90-100%
The image shows the mode of nutrition in two different organisms.What is the mode of nutrition of the two organisms?,Biology,7,Nutrition in plants,178,283,-3.30688670219091,Definition of Nutrition.,Apply your understanding to classify a variety of materials based on their appearance and tactile qualities.,0.964664310954063,90-100%,Apply,90-100%
Which phenomenon is shown in the above picture?,Physics,6,"Light, shadow and reflection",1848,141,-3.30321697330195,Definition of Reflection of Light,Recall and identify Satpura National Park as a protected area in India. Remember that Project Tiger is an initiative aimed at conserving and protecting the Bengal tiger and its habitats.,0.964539007092198,90-100%,Remember,90-100%
Read the list of functions performed by humans. Which of these functions require energy to perform? ,Biology,7,Respiration in Organisms,4443,28,-3.29583686600432,"Introduction to cellular, aerobic and anaerobic respiration",Describe the fundamental difference between Celsius and Fahrenheit scale.,0.964285714285714,90-100%,Understand,90-100%
What is the main purpose of the seed coat?,Biology,5,Seeds and seeds,20538,501,-3.2896448957564,Structure of a Seed,Apply the concept to find the sum of two consecutive positive integers for a given odd number.,0.964071856287425,90-100%,Apply,90-100%
Complete the sentence with the appropriate word.A __________ is the basic unit of any living organism.,Biology,8,The Cell - structure and function ,16883,167,-3.2896448957564,"Definition of a cell, variations in sizes, numbers, and shapes",Students will describe the migration patterns of specific animals.,0.964071856287425,90-100%,Understand,90-100%
What is the primary purpose of a thermometer?,Physics,7,Heat,13878,306,-3.28908008354145,Definition of Thermometers,Use properties of square numbers to solve mathematical problems,0.964052287581699,90-100%,Apply,90-100%
Identify the hot object from the given images. ,Physics,7,Heat,927,274,-3.27336401015227,Sense of touch as temperature sensor,"Recall stem modifications: storage, support, manufacturing food.",0.963503649635036,90-100%,Remember,90-100%
What does the following figure represent?,Mathematics,6,Basic geometrical ideas,22059,27,-3.25809653802148,Definition of curve,"Apply the understanding of rays to identify and label them in geometric diagrams, distinguishing them from line segments and lines.",0.962962962962962,90-100%,Apply,90-100%
Which option is an example of a physical change?,Chemistry,7,Physical and chemical changes,16827,243,-3.25809653802148,Introduction to Physical Changes,Apply knowledge of the human digestive system to describe the functions of its individual components.,0.962962962962962,90-100%,Apply,90-100%
Which of the following is not a component of food?,Biology,6,Components of Food ,9443,53,-3.23867845216438,"Definition of nutrients, types, and their sources.","Recall the fundamental components of a line graph, such as the x-axis, y-axis, and plotted data points.",0.962264150943396,90-100%,Remember,90-100%
Which of the following food items is obtained from the animal?,Biology,6,Food-where does it come from,9805,79,-3.23212105161822,Plants and animals-based food sources,Interpret data from a given circle graph to answer specific questions.,0.962025316455696,90-100%,Apply,90-100%
Which of the following food items is obtained from the animal?,Biology,6,Food-where does it come from,9805,79,-3.23212105161822,Plants and animals-based food sources,Interpret data from a given circle graph to answer specific questions.,0.962025316455696,90-100%,Apply,90-100%
Which of the following food items is obtained from the animal?,Biology,6,Food-where does it come from,9805,79,-3.23212105161822,Plants and animals-based food sources,Explain what each segment of a circle graph represents in terms of data.,0.962025316455696,90-100%,Understand,90-100%
Which of the following food items is obtained from the animal?,Biology,6,Food-where does it come from,9805,79,-3.23212105161822,Plants and animals-based food sources,Explain what each segment of a circle graph represents in terms of data.,0.962025316455696,90-100%,Understand,90-100%
What is the numeral for “Forty six thousand seven hundred fifty two”?,Mathematics,6,Knowing our numbers,63,104,-3.2188758248682,Conversion of names of whole number (upto 9-digit numbers) into numerical form,Recall the process of writing number names in numerals and identify the correct numerals for given number names.,0.961538461538461,90-100%,Remember,90-100%
Look at the numbers represented below on the number strip.Which one of the following holds true?,Mathematics,6,Integers,2479,26,-3.2188758248682,Definition of negative numbers,State the basic components of a pie chart,0.961538461538461,90-100%,Remember,70-80%
Look at the numbers represented below on the number strip.Which one of the following holds true?,Mathematics,6,Integers,2479,26,-3.2188758248682,Definition of negative numbers,State the basic components of a pie chart,0.961538461538461,60-70%,Remember,70-80%
Look at the numbers represented below on the number strip.Which one of the following holds true?,Mathematics,6,Integers,2479,26,-3.2188758248682,Definition of negative numbers,State the basic components of a pie chart,0.961538461538461,70-80%,Remember,70-80%
"Sunil is selling pineapples, and he has 40 pineapples with him. He gave 2 pineapples to his friend and then ate 2 pineapples himself. Later, a customer returned 3 more pineapples to him. How many pineapples does Sunil have left?",Mathematics,6,Whole numbers,15607,52,-3.2188758248682,Mixed operation of addition and subtraction of three or more whole numbers without number line.,"Analyze the key characteristics of combustion, such as the release of energy, heat, light, and the formation of products.",0.961538461538461,90-100%,Analyse,90-100%
Write the expanded form of the given number.604,Mathematics,6,Knowing our numbers,10,362,-3.21314515015921,Numerical expansion of whole numbers (upto 9-digit numbers),Explain the concept of the expanded form of a whole number and its role in representing the value of each digit within the number,0.961325966850828,90-100%,Understand,90-100%
What is the numeral for “thirty-nine thousand five hundred thirty-eight”?,Mathematics,6,Knowing our numbers,8917,77,-3.20545280453605,Conversion of names of whole number (upto 9-digit numbers) into numerical form,Apply the rules for writing number names in numerals.,0.961038961038961,90-100%,Apply,90-100%
How is the number 5315004 separated with commas and read in the Indian Place Value System?,Mathematics,6,Knowing our numbers,13164,176,-3.18398856586775,Interpretation of whole number in numerical form (upto 9-digit numbers) into number names,Recall the process of writing number names in numerals and identify the correct numerals for given number names.,0.960227272727272,90-100%,Remember,90-100%
