question_text,Subject,grade,chapter,question_id,total_attempt,3PL,learning_unit,learning_objective,competency_score,competency_score_range,Bloom_tag,Predicted_competency_score_range
Complete given analogy by relating the type of stem with the type of plant.Thick stem : Banyan :: Weak stem : ____________,Biology,6,Getting to know plants ,2027,20,-2.94443897916643,Plant's stem structure and functions,Recognize the standard symbol for an electric switch in circuit diagrams.,0.95,90-100%,Remember,90-100%
The image shows a habitat. Identify the biotic components and abiotic components in the habitat.,Biology,6,The Living Organisms — Characteristics and Habitats,5737,20,-2.94443897916643,Definition of biotic components,Classify observed objects based on their state of motion or rest.,0.95,90-100%,Apply,90-100%
Complete the given analogy by relating the type of stem with the type of plant.Thick fleshy stem : Banyan :: Weak tender stem : ____________,Biology,6,Getting to know plants ,1941,19,-2.89037175789616,Plant's stem structure and functions,Analyze the significance of conductors and insulators in everyday situations..,0.947368421052631,90-100%,Apply,90-100%
Which of the following are methods of separation?I. SievingII. Handpicking III. SewingIV. Winnowing,Chemistry,6,Separation of Substances,1326,19,-2.89037175789616,"Handpicking, threshing, winnowing, and sieving",Identify the primary units and their significance in the SI system.,0.947368421052631,90-100%,Remember,90-100%
The stem of climbers and creepers is usually_______.,Biology,6,Getting to know plants ,1959,18,-2.83321334405621,"Herbs, shrubs, trees, and creepers and climbers.",Explain in simple words why the pitcher plant is different from most other plants.,0.944444444444444,90-100%,Understand,90-100%
Rahul has collected a pile of different coloured pebbles from a riverbank. He wants to separate the pebbles based on their colours. Which method should Rahul use to separate the pebbles effectively?,Chemistry,6,Separation of Substances,4234,18,-2.83321334405621,"Handpicking, threshing, winnowing, and sieving",Differentiate between standardized and non-standardized units.,0.944444444444444,90-100%,Apply,90-100%
Fill in the blank with the correct option:_________ is the nutrient that can be tested by using a dilute iodine solution.,Biology,6,Components of Food ,9090,18,-2.83321334405621,Definition of carbohydrates and its qualitative tests.,Identify examples where division of whole numbers demonstrates the non-commutativity.,0.944444444444444,90-100%,Apply,90-100%
Consider the given expanded form 1) 6 Crore + 10 lakh + 23 thousand + 4 hundred + thirty + four2) 52 Crore + 15 lakh + 2 thousand + 8 hundred + twenty + two3) 21 lakh + 1 thousand + 3 hundred + threeThe numeral forms of the given numbers are,Mathematics,6,Knowing our numbers,13651,17,-2.77258872223978,Interpretation of whole number in numerical form (upto 9-digit numbers) into number names,Recall the process of writing number names in numerals and identify the correct numerals for given number names.,0.941176470588235,90-100%,Remember,90-100%
"In ΔPQR, which side is opposite to the vertex P?",Mathematics,6,Basic geometrical ideas,3482,17,-2.77258872223978,Lexical explanation of triangle,"Dissect and categorize the different components of an angle, analyzing their relationships and functions within various types of angles.",0.941176470588235,90-100%,Analyse,90-100%
"The distance between Jammu and Kanyakumari is 2,809 km. Which mode of transportation is best suited to cover this distance?",Physics,6,Motion and Measurement ,14193,17,-2.77258872223978,Importance of Distance and Measurement,"Analyse the method of multiplying a binomial by another binomial, considering the distribution of terms and applying the rules of multiplication to simplify expressions.",0.941176470588235,90-100%,Analyse,90-100%
"The Venn diagram represents respiratory organs in different animals.Select the correct statement regarding X, Y and Z.",Biology,7,Respiration in Organisms,18762,17,-2.77258872223978,General Mechanism of Breathing in other animals(non-humans),Categorise the objects in the surroundings as hot and cold.,0.941176470588235,90-100%,Remember,90-100%
